Action name, Thread name, Action timestamp
The tickets of a client were selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
The details for an event were selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A location was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
The details for an event were selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A location was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
The details for an event were selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A location was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
The details for an event were selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
An event was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A location was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-4, 01.06.2020 01.40.06
A client was selected from database., http-nio-8080-exec-5, 01.06.2020 01.42.19
A client was logged., http-nio-8080-exec-5, 01.06.2020 01.42.19
All event details were selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
